B,P,C,X,N,Time
5,1,1,0,1,10.191200
5,1,5,0,1,10.188587
5,5,1,0,1,2.123800
5,5,5,0,1,2.126942
10,1,1,0,1,10.184533
10,1,5,0,1,10.171646
10,1,10,0,1,10.199708
10,5,1,0,1,2.135616
10,5,5,0,1,2.109677
10,5,10,0,1,2.119540
10,10,1,0,1,1.105354
10,10,5,0,1,1.100286
10,10,10,0,1,1.101850
5,1,1,200,1,10.408434
5,1,5,200,1,11.222828
5,5,1,200,1,10.242795
5,5,5,200,1,2.321655
10,1,1,200,1,10.408891
10,1,5,200,1,11.219584
10,1,10,200,1,12.203396
10,5,1,200,1,10.243243
10,5,5,200,1,2.331320
10,5,10,200,1,2.525560
10,10,1,200,1,10.249768
10,10,5,200,1,2.241189
10,10,10,200,1,1.287732
5,1,1,400,1,20.240892
5,1,5,400,1,11.214006
5,5,1,400,1,20.244687
5,5,5,400,1,4.241167
10,1,1,400,1,20.242454
10,1,5,400,1,11.192190
10,1,10,400,1,12.209977
10,5,1,400,1,20.241866
10,5,5,400,1,4.239741
10,5,10,400,1,2.523963
10,10,1,400,1,20.247426
10,10,5,400,1,4.245111
10,10,10,400,1,2.252716
