B,P,C,X,N,Time
5,1,1,0,1,0.007239
5,1,5,0,1,0.006703
5,5,1,0,1,0.007180
5,5,5,0,1,0.011834
10,1,1,0,1,0.007729
10,1,5,0,1,0.012524
10,1,10,0,1,0.012142
10,5,1,0,1,0.002976
10,5,5,0,1,0.011464
10,5,10,0,1,0.007907
10,10,1,0,1,0.007144
10,10,5,0,1,0.002742
10,10,10,0,1,0.006659
5,1,1,200,1,0.004066
5,1,5,200,1,0.009873
5,5,1,200,1,0.001873
5,5,5,200,1,0.005014
10,1,1,200,1,0.007936
10,1,5,200,1,0.004961
10,1,10,200,1,0.025870
10,5,1,200,1,0.001662
10,5,5,200,1,0.003179
10,5,10,200,1,0.010032
10,10,1,200,1,0.004121
10,10,5,200,1,0.000571
10,10,10,200,1,0.001287
5,1,1,400,1,0.003971
5,1,5,400,1,0.014624
5,5,1,400,1,0.001866
5,5,5,400,1,0.002864
10,1,1,400,1,0.005760
10,1,5,400,1,0.012239
10,1,10,400,1,0.011259
10,5,1,400,1,0.001424
10,5,5,400,1,0.002424
10,5,10,400,1,0.009346
10,10,1,400,1,0.001974
10,10,5,400,1,0.000906
10,10,10,400,1,0.002504
